Month,Salesman,Manager,Product,Category, Sales, Profit
6/30/2011,Jennifer Johnson,Kimberly Mack,Paints,Cloths,"  4,153 ",  249.18 
6/30/2011,Kristi Shaw,Kimberly Mack,Paints,Cloths,"  3,048 ",  60.95 
6/30/2011,Sarah Parks,Brian Baldwin,Paints,Cloths,"  2,010 ",  60.31 
6/30/2011,Steven Kerr,Brian Baldwin,Paints,Cloths,"  4,155 ",  83.10 
6/30/2011,Brian Harris,Brian Baldwin,Paints,Cloths,"  2,425 ",  24.25 
6/30/2011,Kenneth Lamb,Brian Baldwin,Paints,Cloths,"  1,652 ",  66.09 
6/30/2011,David Torres,Kimberly Mack,Hats,Accesseries,"  2,314 ",  23.14 
6/30/2011,Brenda Matthews,Kimberly Mack,Hats,Accesseries,"  3,028 ",  90.83 
6/30/2011,Jennifer Johnson,Kimberly Mack,Hats,Accesseries,"  3,014 ",  150.70 
6/30/2011,Kristi Shaw,Kimberly Mack,Hats,Accesseries,"  2,959 ",  59.19 
6/30/2011,Sarah Parks,Brian Baldwin,Hats,Accesseries,"  1,572 ",  47.15 
6/30/2011,Steven Kerr,Brian Baldwin,Hats,Accesseries,"  4,084 ",  163.37 
6/30/2011,Brian Harris,Brian Baldwin,Hats,Accesseries,"  1,536 ",  92.19 
6/30/2011,Kenneth Lamb,Brian Baldwin,Hats,Accesseries,"  2,000 ",  60.01 
6/30/2011,David Torres,Kimberly Mack,Pajamas,Cloths,"  3,696 ",  36.96 
6/30/2011,Brenda Matthews,Kimberly Mack,Pajamas,Cloths,"  2,221 ",  22.21 
6/30/2011,Jennifer Johnson,Kimberly Mack,Pajamas,Cloths,"  3,693 ",  36.93 
6/30/2011,Kristi Shaw,Kimberly Mack,Pajamas,Cloths,"  1,682 ",  33.65 
6/30/2011,Sarah Parks,Brian Baldwin,Pajamas,Cloths,"  2,124 ",  63.73 
6/30/2011,Steven Kerr,Brian Baldwin,Pajamas,Cloths,"  3,585 ",  71.71 
6/30/2011,Brian Harris,Brian Baldwin,Pajamas,Cloths,"  3,320 ",  265.62 
6/30/2011,Kenneth Lamb,Brian Baldwin,Pajamas,Cloths,"  3,363 ",  134.53 
7/31/2011,David Torres,Kimberly Mack,Socks,Accesseries,"  3,728 ",  37.28 
7/31/2011,Brenda Matthews,Kimberly Mack,Socks,Accesseries,"  2,795 ",  167.71 
7/31/2011,Jennifer Johnson,Kimberly Mack,Socks,Accesseries,"  3,209 ",  224.61 
7/31/2011,Kristi Shaw,Kimberly Mack,Socks,Accesseries,"  2,300 ",  23.00 
7/31/2011,Sarah Parks,Brian Baldwin,Socks,Accesseries,"  1,549 ",  15.49 
7/31/2011,Steven Kerr,Brian Baldwin,Socks,Accesseries,"  3,420 ",  171.01 
7/31/2011,Brian Harris,Brian Baldwin,Socks,Accesseries,"  2,609 ",  104.37 
7/31/2011,Kenneth Lamb,Brian Baldwin,Socks,Accesseries,"  3,352 ",  67.04 
7/31/2011,David Torres,Kimberly Mack,Shorts,Accesseries,"  3,637 ",  36.37 
7/31/2011,Brenda Matthews,Kimberly Mack,Shorts,Accesseries,"  1,322 ",  66.12 
7/31/2011,Jennifer Johnson,Kimberly Mack,Shorts,Accesseries,"  1,500 ",  104.99 
7/31/2011,Kristi Shaw,Kimberly Mack,Shorts,Accesseries,"  3,773 ",  37.73 
7/31/2011,Sarah Parks,Brian Baldwin,Shorts,Accesseries,"  3,196 ",  31.96 
7/31/2011,Steven Kerr,Brian Baldwin,Shorts,Accesseries,"  3,316 ",  99.49 
7/31/2011,Brian Harris,Brian Baldwin,Shorts,Accesseries,"  2,167 ",  151.66 
7/31/2011,Kenneth Lamb,Brian Baldwin,Shorts,Accesseries,"  2,345 ",  46.89 
7/31/2011,David Torres,Kimberly Mack,Jeans,Cloths,"  1,371 ",  13.71 
7/31/2011,Brenda Matthews,Kimberly Mack,Jeans,Cloths,"  3,357 ",  33.57 
7/31/2011,Jennifer Johnson,Kimberly Mack,Jeans,Cloths,"  2,927 ",  117.08 
7/31/2011,Kristi Shaw,Kimberly Mack,Jeans,Cloths,"  1,497 ",  14.97 
7/31/2011,Sarah Parks,Brian Baldwin,Jeans,Cloths,"  2,848 ",  85.43 
7/31/2011,Steven Kerr,Brian Baldwin,Jeans,Cloths,"  3,761 ",  188.04 
7/31/2011,Brian Harris,Brian Baldwin,Jeans,Cloths,"  4,140 ",  124.21 
7/31/2011,Kenneth Lamb,Brian Baldwin,Jeans,Cloths,"  3,424 ",  34.24 
7/31/2011,David Torres,Kimberly Mack,Coats,Cloths,"  1,933 ",  19.33 
7/31/2011,Brenda Matthews,Kimberly Mack,Coats,Cloths,"  2,030 ",  121.80 
7/31/2011,Jennifer Johnson,Kimberly Mack,Coats,Cloths,"  2,309 ",  115.45 
7/31/2011,Kristi Shaw,Kimberly Mack,Coats,Cloths,"  3,059 ",  30.59 
7/31/2011,Sarah Parks,Brian Baldwin,Coats,Cloths,"  2,031 ",  60.94 
7/31/2011,Steven Kerr,Brian Baldwin,Coats,Cloths,"  2,019 ",  40.39 
7/31/2011,Brian Harris,Brian Baldwin,Coats,Cloths,"  3,470 ",  69.41 
7/31/2011,Kenneth Lamb,Brian Baldwin,Coats,Cloths,"  2,443 ",  24.43 
7/31/2011,David Torres,Kimberly Mack,Sweaters,Cloths,"  2,867 ",  28.67 
7/31/2011,Brenda Matthews,Kimberly Mack,Sweaters,Cloths,"  2,385 ",  119.25 
7/31/2011,Jennifer Johnson,Kimberly Mack,Sweaters,Cloths,"  1,083 ",  54.16 
7/31/2011,Kristi Shaw,Kimberly Mack,Sweaters,Cloths,"  2,786 ",  55.73 
7/31/2011,Sarah Parks,Brian Baldwin,Sweaters,Cloths,"  2,681 ",  53.62 
7/31/2011,Steven Kerr,Brian Baldwin,Sweaters,Cloths,"  3,955 ",  39.55 
7/31/2011,Brian Harris,Brian Baldwin,Sweaters,Cloths,  787 ,  39.33 
7/31/2011,Kenneth Lamb,Brian Baldwin,Sweaters,Cloths,"  3,810 ",  152.39 
7/31/2011,David Torres,Kimberly Mack,Jackets,Cloths,"  1,318 ",  13.18 
7/31/2011,Brenda Matthews,Kimberly Mack,Jackets,Cloths,"  2,139 ",  42.79 
7/31/2011,Jennifer Johnson,Kimberly Mack,Jackets,Cloths,"  1,028 ",  71.97 
7/31/2011,Kristi Shaw,Kimberly Mack,Jackets,Cloths,"  2,161 ",  21.61 
7/31/2011,Sarah Parks,Brian Baldwin,Jackets,Cloths,"  2,313 ",  46.26 
7/31/2011,Steven Kerr,Brian Baldwin,Jackets,Cloths,"  3,744 ",  37.44 
7/31/2011,Brian Harris,Brian Baldwin,Jackets,Cloths,"  4,268 ",  341.47 
7/31/2011,Kenneth Lamb,Brian Baldwin,Jackets,Cloths,"  1,085 ",  21.69 
7/31/2011,David Torres,Kimberly Mack,Shirts,Cloths,"  2,317 ",  23.17 
7/31/2011,Brenda Matthews,Kimberly Mack,Shirts,Cloths,"  1,701 ",  34.01 
7/31/2011,Jennifer Johnson,Kimberly Mack,Shirts,Cloths,"  4,093 ",  81.85 
7/31/2011,Kristi Shaw,Kimberly Mack,Shirts,Cloths,"  3,080 ",  61.61 
7/31/2011,Sarah Parks,Brian Baldwin,Shirts,Cloths,"  2,194 ",  65.81 
7/31/2011,Steven Kerr,Brian Baldwin,Shirts,Cloths,"  3,036 ",  91.07 
7/31/2011,Brian Harris,Brian Baldwin,Shirts,Cloths,"  2,683 ",  26.83 
7/31/2011,Kenneth Lamb,Brian Baldwin,Shirts,Cloths,"  3,078 ",  30.78 
7/31/2011,David Torres,Kimberly Mack,Paints,Cloths,"  2,179 ",  21.79 
7/31/2011,Brenda Matthews,Kimberly Mack,Paints,Cloths,"  1,302 ",  13.02 
7/31/2011,Jennifer Johnson,Kimberly Mack,Paints,Cloths,"  4,028 ",  120.85 
7/31/2011,Kristi Shaw,Kimberly Mack,Paints,Cloths,"  3,017 ",  30.17 
7/31/2011,Sarah Parks,Brian Baldwin,Paints,Cloths,"  2,010 ",  20.10 
7/31/2011,Steven Kerr,Brian Baldwin,Paints,Cloths,"  4,030 ",  120.91 
7/31/2011,Brian Harris,Brian Baldwin,Paints,Cloths,"  2,401 ",  120.04 
7/31/2011,Kenneth Lamb,Brian Baldwin,Paints,Cloths,"  1,652 ",  16.52 
7/31/2011,David Torres,Kimberly Mack,Hats,Accesseries,"  2,291 ",  22.91 
7/31/2011,Brenda Matthews,Kimberly Mack,Hats,Accesseries,"  2,937 ",  29.37 
7/31/2011,Jennifer Johnson,Kimberly Mack,Hats,Accesseries,"  3,135 ",  94.04 
7/31/2011,Kristi Shaw,Kimberly Mack,Hats,Accesseries,"  2,900 ",  58.00 
7/31/2011,Sarah Parks,Brian Baldwin,Hats,Accesseries,"  1,603 ",  16.03 
7/31/2011,Steven Kerr,Brian Baldwin,Hats,Accesseries,"  4,166 ",  208.30 
7/31/2011,Brian Harris,Brian Baldwin,Hats,Accesseries,"  1,644 ",  115.08 
7/31/2011,Kenneth Lamb,Brian Baldwin,Hats,Accesseries,"  2,040 ",  81.61 
7/31/2011,David Torres,Kimberly Mack,Pajamas,Cloths,"  3,696 ",  36.96 
7/31/2011,Brenda Matthews,Kimberly Mack,Pajamas,Cloths,"  2,287 ",  68.62 
7/31/2011,Jennifer Johnson,Kimberly Mack,Pajamas,Cloths,"  3,693 ",  36.93 
7/31/2011,Kristi Shaw,Kimberly Mack,Pajamas,Cloths,"  1,649 ",  16.49 
7/31/2011,Sarah Parks,Brian Baldwin,Pajamas,Cloths,"  2,146 ",  21.46 
7/31/2011,Steven Kerr,Brian Baldwin,Pajamas,Cloths,"  3,693 ",  36.93 
7/31/2011,Brian Harris,Brian Baldwin,Pajamas,Cloths,"  3,254 ",  65.08 
7/31/2011,Kenneth Lamb,Brian Baldwin,Pajamas,Cloths,"  3,464 ",  138.57 
8/31/2011,David Torres,Kimberly Mack,Socks,Accesseries,"  3,766 ",  37.66 
8/31/2011,Brenda Matthews,Kimberly Mack,Socks,Accesseries,"  2,683 ",  26.83 
8/31/2011,Jennifer Johnson,Kimberly Mack,Socks,Accesseries,"  3,337 ",  200.22 
8/31/2011,Kristi Shaw,Kimberly Mack,Socks,Accesseries,"  2,323 ",  46.47 
8/31/2011,Sarah Parks,Brian Baldwin,Socks,Accesseries,"  1,580 ",  31.60 
8/31/2011,Steven Kerr,Brian Baldwin,Socks,Accesseries,"  3,420 ",  34.20 
8/31/2011,Brian Harris,Brian Baldwin,Socks,Accesseries,"  2,505 ",  150.29 
8/31/2011,Kenneth Lamb,Brian Baldwin,Socks,Accesseries,"  3,218 ",  96.53 
8/31/2011,David Torres,Kimberly Mack,Shorts,Accesseries,"  3,674 ",  36.74 
8/31/2011,Brenda Matthews,Kimberly Mack,Shorts,Accesseries,"  1,322 ",  39.67 
8/31/2011,Jennifer Johnson,Kimberly Mack,Shorts,Accesseries,"  1,590 ",  79.49 
8/31/2011,Kristi Shaw,Kimberly Mack,Shorts,Accesseries,"  3,735 ",  74.70 
8/31/2011,Sarah Parks,Brian Baldwin,Shorts,Accesseries,"  3,260 ",  97.79 
8/31/2011,Steven Kerr,Brian Baldwin,Shorts,Accesseries,"  3,350 ",  33.50 
8/31/2011,Brian Harris,Brian Baldwin,Shorts,Accesseries,"  2,015 ",  20.15 
8/31/2011,Kenneth Lamb,Brian Baldwin,Shorts,Accesseries,"  2,415 ",  96.60 
8/31/2011,David Torres,Kimberly Mack,Jeans,Cloths,"  1,385 ",  13.85 
8/31/2011,Brenda Matthews,Kimberly Mack,Jeans,Cloths,"  3,525 ",  105.74 
8/31/2011,Jennifer Johnson,Kimberly Mack,Jeans,Cloths,"  2,927 ",  58.54 
8/31/2011,Kristi Shaw,Kimberly Mack,Jeans,Cloths,"  1,497 ",  14.97 
8/31/2011,Sarah Parks,Brian Baldwin,Jeans,Cloths,"  2,904 ",  29.04 
8/31/2011,Steven Kerr,Brian Baldwin,Jeans,Cloths,"  3,610 ",  72.21 
8/31/2011,Brian Harris,Brian Baldwin,Jeans,Cloths,"  4,306 ",  172.24 
8/31/2011,Kenneth Lamb,Brian Baldwin,Jeans,Cloths,"  3,321 ",  33.21 
8/31/2011,David Torres,Kimberly Mack,Coats,Cloths,"  1,914 ",  19.14 
8/31/2011,Brenda Matthews,Kimberly Mack,Coats,Cloths,"  2,030 ",  81.20 
8/31/2011,Jennifer Johnson,Kimberly Mack,Coats,Cloths,"  2,309 ",  161.63 
8/31/2011,Kristi Shaw,Kimberly Mack,Coats,Cloths,"  3,090 ",  30.90 
8/31/2011,Sarah Parks,Brian Baldwin,Coats,Cloths,"  2,011 ",  40.22 
8/31/2011,Steven Kerr,Brian Baldwin,Coats,Cloths,"  1,939 ",  19.39 
8/31/2011,Brian Harris,Brian Baldwin,Coats,Cloths,"  3,644 ",  218.63 
8/31/2011,Kenneth Lamb,Brian Baldwin,Coats,Cloths,"  2,541 ",  76.22 
8/31/2011,David Torres,Kimberly Mack,Sweaters,Cloths,"  2,839 ",  28.39 
8/31/2011,Brenda Matthews,Kimberly Mack,Sweaters,Cloths,"  2,409 ",  72.26 
8/31/2011,Jennifer Johnson,Kimberly Mack,Sweaters,Cloths,"  1,062 ",  42.46 
8/31/2011,Kristi Shaw,Kimberly Mack,Sweaters,Cloths,"  2,758 ",  55.17 
8/31/2011,Sarah Parks,Brian Baldwin,Sweaters,Cloths,"  2,734 ",  82.03 
8/31/2011,Steven Kerr,Brian Baldwin,Sweaters,Cloths,"  3,955 ",  39.55 
8/31/2011,Brian Harris,Brian Baldwin,Sweaters,Cloths,  826 ,  8.26 
8/31/2011,Kenneth Lamb,Brian Baldwin,Sweaters,Cloths,"  3,924 ",  117.72 
8/31/2011,David Torres,Kimberly Mack,Jackets,Cloths,"  1,305 ",  13.05 
8/31/2011,Brenda Matthews,Kimberly Mack,Jackets,Cloths,"  2,032 ",  101.62 
8/31/2011,Jennifer Johnson,Kimberly Mack,Jackets,Cloths,"  1,090 ",  43.60 
8/31/2011,Kristi Shaw,Kimberly Mack,Jackets,Cloths,"  2,161 ",  21.61 
8/31/2011,Sarah Parks,Brian Baldwin,Jackets,Cloths,"  2,336 ",  46.72 
8/31/2011,Steven Kerr,Brian Baldwin,Jackets,Cloths,"  3,931 ",  39.31 
8/31/2011,Brian Harris,Brian Baldwin,Jackets,Cloths,"  4,439 ",  177.56 
8/31/2011,Kenneth Lamb,Brian Baldwin,Jackets,Cloths,"  1,052 ",  21.04 
8/31/2011,David Torres,Kimberly Mack,Shirts,Cloths,"  2,341 ",  23.41 
8/31/2011,Brenda Matthews,Kimberly Mack,Shirts,Cloths,"  1,667 ",  83.33 
8/31/2011,Jennifer Johnson,Kimberly Mack,Shirts,Cloths,"  3,806 ",  190.30 
8/31/2011,Kristi Shaw,Kimberly Mack,Shirts,Cloths,"  3,050 ",  30.50 
8/31/2011,Sarah Parks,Brian Baldwin,Shirts,Cloths,"  2,216 ",  44.31 
8/31/2011,Steven Kerr,Brian Baldwin,Shirts,Cloths,"  3,127 ",  62.53 
8/31/2011,Brian Harris,Brian Baldwin,Shirts,Cloths,"  2,683 ",  107.32 
8/31/2011,Kenneth Lamb,Brian Baldwin,Shirts,Cloths,"  3,140 ",  31.40 
8/31/2011,David Torres,Kimberly Mack,Paints,Cloths,"  2,179 ",  21.79 
8/31/2011,Brenda Matthews,Kimberly Mack,Paints,Cloths,"  1,380 ",  13.80 
8/31/2011,Jennifer Johnson,Kimberly Mack,Paints,Cloths,"  4,230 ",  42.30 
8/31/2011,Kristi Shaw,Kimberly Mack,Paints,Cloths,"  3,077 ",  30.77 
8/31/2011,Sarah Parks,Brian Baldwin,Paints,Cloths,"  1,950 ",  19.50 
8/31/2011,Steven Kerr,Brian Baldwin,Paints,Cloths,"  3,829 ",  114.87 
8/31/2011,Brian Harris,Brian Baldwin,Paints,Cloths,"  2,593 ",  25.93 
8/31/2011,Kenneth Lamb,Brian Baldwin,Paints,Cloths,"  1,586 ",  47.58 
8/31/2011,David Torres,Kimberly Mack,Hats,Accesseries,"  2,313 ",  23.13 
8/31/2011,Brenda Matthews,Kimberly Mack,Hats,Accesseries,"  2,937 ",  58.74 
8/31/2011,Jennifer Johnson,Kimberly Mack,Hats,Accesseries,"  3,260 ",  97.80 
8/31/2011,Kristi Shaw,Kimberly Mack,Hats,Accesseries,"  2,842 ",  56.84 
8/31/2011,Sarah Parks,Brian Baldwin,Hats,Accesseries,"  1,587 ",  47.61 
8/31/2011,Steven Kerr,Brian Baldwin,Hats,Accesseries,"  4,208 ",  42.08 
8/31/2011,Brian Harris,Brian Baldwin,Hats,Accesseries,"  1,611 ",  16.11 
8/31/2011,Kenneth Lamb,Brian Baldwin,Hats,Accesseries,"  2,040 ",  20.40 
8/31/2011,David Torres,Kimberly Mack,Pajamas,Cloths,"  3,659 ",  36.59 
8/31/2011,Brenda Matthews,Kimberly Mack,Pajamas,Cloths,"  2,287 ",  91.50 
8/31/2011,Jennifer Johnson,Kimberly Mack,Pajamas,Cloths,"  3,471 ",  34.71 
8/31/2011,Kristi Shaw,Kimberly Mack,Pajamas,Cloths,"  1,616 ",  16.16 
8/31/2011,Sarah Parks,Brian Baldwin,Pajamas,Cloths,"  2,124 ",  63.72 
8/31/2011,Steven Kerr,Brian Baldwin,Pajamas,Cloths,"  3,656 ",  36.56 
8/31/2011,Brian Harris,Brian Baldwin,Pajamas,Cloths,"  3,059 ",  61.17 
8/31/2011,Kenneth Lamb,Brian Baldwin,Pajamas,Cloths,"  3,429 ",  102.88 
9/30/2011,David Torres,Kimberly Mack,Socks,Accesseries,"  3,728 ",  37.28 
9/30/2011,Brenda Matthews,Kimberly Mack,Socks,Accesseries,"  2,603 ",  78.09 
9/30/2011,Jennifer Johnson,Kimberly Mack,Socks,Accesseries,"  3,504 ",  210.23 
9/30/2011,Kristi Shaw,Kimberly Mack,Socks,Accesseries,"  2,300 ",  23.00 
9/30/2011,Sarah Parks,Brian Baldwin,Socks,Accesseries,"  1,612 ",  48.35 
9/30/2011,Steven Kerr,Brian Baldwin,Socks,Accesseries,"  3,318 ",  132.70 
9/30/2011,Brian Harris,Brian Baldwin,Socks,Accesseries,"  2,480 ",  198.38 
9/30/2011,Kenneth Lamb,Brian Baldwin,Socks,Accesseries,"  3,218 ",  128.71 
9/30/2011,David Torres,Kimberly Mack,Shorts,Accesseries,"  3,674 ",  36.74 
9/30/2011,Brenda Matthews,Kimberly Mack,Shorts,Accesseries,"  1,243 ",  12.43 
9/30/2011,Jennifer Johnson,Kimberly Mack,Shorts,Accesseries,"  1,669 ",  66.77 
9/30/2011,Kristi Shaw,Kimberly Mack,Shorts,Accesseries,"  3,772 ",  75.44 
9/30/2011,Sarah Parks,Brian Baldwin,Shorts,Accesseries,"  3,162 ",  63.24 
9/30/2011,Steven Kerr,Brian Baldwin,Shorts,Accesseries,"  3,182 ",  95.46 
9/30/2011,Brian Harris,Brian Baldwin,Shorts,Accesseries,"  2,035 ",  20.35 
9/30/2011,Kenneth Lamb,Brian Baldwin,Shorts,Accesseries,"  2,415 ",  96.60 
9/30/2011,David Torres,Kimberly Mack,Jeans,Cloths,"  1,399 ",  13.99 
9/30/2011,Brenda Matthews,Kimberly Mack,Jeans,Cloths,"  3,525 ",  35.25 
9/30/2011,Jennifer Johnson,Kimberly Mack,Jeans,Cloths,"  2,722 ",  190.55 
9/30/2011,Kristi Shaw,Kimberly Mack,Jeans,Cloths,"  1,527 ",  30.54 
9/30/2011,Sarah Parks,Brian Baldwin,Jeans,Cloths,"  2,904 ",  29.04 
9/30/2011,Steven Kerr,Brian Baldwin,Jeans,Cloths,"  3,610 ",  144.42 
9/30/2011,Brian Harris,Brian Baldwin,Jeans,Cloths,"  4,306 ",  258.36 
9/30/2011,Kenneth Lamb,Brian Baldwin,Jeans,Cloths,"  3,355 ",  134.18 
9/30/2011,David Torres,Kimberly Mack,Coats,Cloths,"  1,914 ",  19.14 
9/30/2011,Brenda Matthews,Kimberly Mack,Coats,Cloths,"  2,131 ",  42.63 
9/30/2011,Jennifer Johnson,Kimberly Mack,Coats,Cloths,"  2,401 ",  96.05 
9/30/2011,Kristi Shaw,Kimberly Mack,Coats,Cloths,"  3,028 ",  30.28 
9/30/2011,Sarah Parks,Brian Baldwin,Coats,Cloths,"  2,031 ",  40.62 
9/30/2011,Steven Kerr,Brian Baldwin,Coats,Cloths,"  1,900 ",  56.99 
9/30/2011,Brian Harris,Brian Baldwin,Coats,Cloths,"  3,571 ",  178.55 
9/30/2011,Kenneth Lamb,Brian Baldwin,Coats,Cloths,"  2,490 ",  99.59 
9/30/2011,David Torres,Kimberly Mack,Sweaters,Cloths,"  2,867 ",  28.67 
9/30/2011,Brenda Matthews,Kimberly Mack,Sweaters,Cloths,"  2,361 ",  94.42 
9/30/2011,Jennifer Johnson,Kimberly Mack,Sweaters,Cloths,"  1,093 ",  10.93 
9/30/2011,Kristi Shaw,Kimberly Mack,Sweaters,Cloths,"  2,731 ",  27.31 
9/30/2011,Sarah Parks,Brian Baldwin,Sweaters,Cloths,"  2,762 ",  27.62 
9/30/2011,Steven Kerr,Brian Baldwin,Sweaters,Cloths,"  4,073 ",  162.93 
9/30/2011,Brian Harris,Brian Baldwin,Sweaters,Cloths,  859 ,  34.35 
9/30/2011,Kenneth Lamb,Brian Baldwin,Sweaters,Cloths,"  4,081 ",  163.24 
9/30/2011,David Torres,Kimberly Mack,Jackets,Cloths,"  1,318 ",  13.18 
9/30/2011,Brenda Matthews,Kimberly Mack,Jackets,Cloths,"  1,931 ",  77.23 
9/30/2011,Jennifer Johnson,Kimberly Mack,Jackets,Cloths,"  1,133 ",  11.33 
9/30/2011,Kristi Shaw,Kimberly Mack,Jackets,Cloths,"  2,118 ",  21.18 
9/30/2011,Sarah Parks,Brian Baldwin,Jackets,Cloths,"  2,383 ",  47.65 
9/30/2011,Steven Kerr,Brian Baldwin,Jackets,Cloths,"  3,891 ",  155.66 
9/30/2011,Brian Harris,Brian Baldwin,Jackets,Cloths,"  4,262 ",  255.69 
9/30/2011,Kenneth Lamb,Brian Baldwin,Jackets,Cloths,"  1,010 ",  40.40 
9/30/2011,David Torres,Kimberly Mack,Shirts,Cloths,"  2,317 ",  23.17 
9/30/2011,Brenda Matthews,Kimberly Mack,Shirts,Cloths,"  1,733 ",  86.66 
9/30/2011,Jennifer Johnson,Kimberly Mack,Shirts,Cloths,"  3,768 ",  188.40 
9/30/2011,Kristi Shaw,Kimberly Mack,Shirts,Cloths,"  3,050 ",  30.50 
9/30/2011,Sarah Parks,Brian Baldwin,Shirts,Cloths,"  2,193 ",  21.93 
9/30/2011,Steven Kerr,Brian Baldwin,Shirts,Cloths,"  3,158 ",  94.74 
9/30/2011,Brian Harris,Brian Baldwin,Shirts,Cloths,"  2,710 ",  162.59 
9/30/2011,Kenneth Lamb,Brian Baldwin,Shirts,Cloths,"  3,140 ",  62.80 
9/30/2011,David Torres,Kimberly Mack,Paints,Cloths,"  2,201 ",  22.01 
9/30/2011,Brenda Matthews,Kimberly Mack,Paints,Cloths,"  1,394 ",  13.94 
9/30/2011,Jennifer Johnson,Kimberly Mack,Paints,Cloths,"  4,272 ",  170.88 
9/30/2011,Kristi Shaw,Kimberly Mack,Paints,Cloths,"  3,016 ",  30.16 
9/30/2011,Sarah Parks,Brian Baldwin,Paints,Cloths,"  1,911 ",  38.22 
9/30/2011,Steven Kerr,Brian Baldwin,Paints,Cloths,"  3,944 ",  39.44 
9/30/2011,Brian Harris,Brian Baldwin,Paints,Cloths,"  2,489 ",  124.46 
9/30/2011,Kenneth Lamb,Brian Baldwin,Paints,Cloths,"  1,586 ",  63.44 
9/30/2011,David Torres,Kimberly Mack,Hats,Accesseries,"  2,313 ",  23.13 
9/30/2011,Brenda Matthews,Kimberly Mack,Hats,Accesseries,"  2,819 ",  112.78 
9/30/2011,Jennifer Johnson,Kimberly Mack,Hats,Accesseries,"  3,130 ",  156.48 
9/30/2011,Kristi Shaw,Kimberly Mack,Hats,Accesseries,"  2,814 ",  56.27 
9/30/2011,Sarah Parks,Brian Baldwin,Hats,Accesseries,"  1,539 ",  30.79 
9/30/2011,Steven Kerr,Brian Baldwin,Hats,Accesseries,"  3,997 ",  159.89 
9/30/2011,Brian Harris,Brian Baldwin,Hats,Accesseries,"  1,498 ",  119.87 
9/30/2011,Kenneth Lamb,Brian Baldwin,Hats,Accesseries,"  2,081 ",  83.24 
9/30/2011,David Torres,Kimberly Mack,Pajamas,Cloths,"  3,659 ",  36.59 
9/30/2011,Brenda Matthews,Kimberly Mack,Pajamas,Cloths,"  2,425 ",  145.48 
9/30/2011,Jennifer Johnson,Kimberly Mack,Pajamas,Cloths,"  3,263 ",  65.26 
9/30/2011,Kristi Shaw,Kimberly Mack,Pajamas,Cloths,"  1,584 ",  31.67 
9/30/2011,Sarah Parks,Brian Baldwin,Pajamas,Cloths,"  2,060 ",  20.60 
9/30/2011,Steven Kerr,Brian Baldwin,Pajamas,Cloths,"  3,802 ",  114.06 
9/30/2011,Brian Harris,Brian Baldwin,Pajamas,Cloths,"  2,997 ",  179.85 
9/30/2011,Kenneth Lamb,Brian Baldwin,Pajamas,Cloths,"  3,327 ",  33.27 
10/31/2011,David Torres,Kimberly Mack,Socks,Accesseries,"  3,691 ",  36.91 
10/31/2011,Brenda Matthews,Kimberly Mack,Socks,Accesseries,"  2,707 ",  54.14 
10/31/2011,Jennifer Johnson,Kimberly Mack,Socks,Accesseries,"  3,644 ",  255.08 
10/31/2011,Kristi Shaw,Kimberly Mack,Socks,Accesseries,"  2,277 ",  22.77 
10/31/2011,Sarah Parks,Brian Baldwin,Socks,Accesseries,"  1,612 ",  16.12 
10/31/2011,Steven Kerr,Brian Baldwin,Socks,Accesseries,"  3,318 ",  66.35 
10/31/2011,Brian Harris,Brian Baldwin,Socks,Accesseries,"  2,579 ",  25.79 
10/31/2011,Kenneth Lamb,Brian Baldwin,Socks,Accesseries,"  3,314 ",  66.29 
10/31/2011,David Torres,Kimberly Mack,Shorts,Accesseries,"  3,710 ",  37.10 
10/31/2011,Brenda Matthews,Kimberly Mack,Shorts,Accesseries,"  1,280 ",  12.80 
10/31/2011,Jennifer Johnson,Kimberly Mack,Shorts,Accesseries,"  1,786 ",  35.72 
10/31/2011,Kristi Shaw,Kimberly Mack,Shorts,Accesseries,"  3,810 ",  76.20 
10/31/2011,Sarah Parks,Brian Baldwin,Shorts,Accesseries,"  3,257 ",  65.13 
10/31/2011,Steven Kerr,Brian Baldwin,Shorts,Accesseries,"  3,023 ",  90.69 
10/31/2011,Brian Harris,Brian Baldwin,Shorts,Accesseries,"  2,116 ",  148.15 
10/31/2011,Kenneth Lamb,Brian Baldwin,Shorts,Accesseries,"  2,343 ",  93.70 
10/31/2011,David Torres,Kimberly Mack,Jeans,Cloths,"  1,399 ",  13.99 
10/31/2011,Brenda Matthews,Kimberly Mack,Jeans,Cloths,"  3,736 ",  224.16 
10/31/2011,Jennifer Johnson,Kimberly Mack,Jeans,Cloths,"  2,749 ",  82.48 
10/31/2011,Kristi Shaw,Kimberly Mack,Jeans,Cloths,"  1,527 ",  15.27 
10/31/2011,Sarah Parks,Brian Baldwin,Jeans,Cloths,"  2,904 ",  87.13 
10/31/2011,Steven Kerr,Brian Baldwin,Jeans,Cloths,"  3,647 ",  182.33 
10/31/2011,Brian Harris,Brian Baldwin,Jeans,Cloths,"  4,564 ",  45.64 
10/31/2011,Kenneth Lamb,Brian Baldwin,Jeans,Cloths,"  3,220 ",  64.41 
10/31/2011,David Torres,Kimberly Mack,Coats,Cloths,"  1,914 ",  19.14 
10/31/2011,Brenda Matthews,Kimberly Mack,Coats,Cloths,"  2,238 ",  134.28 
10/31/2011,Jennifer Johnson,Kimberly Mack,Coats,Cloths,"  2,281 ",  22.81 
